"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"21013","Bell County, KY","263","256","7",".",".",".",".","71","46","33",".",".","231","32","."
"21015","Boone County, KY","242","218","24",".",".",".",".","87","50","36",".",".","242",".","."
"21019","Boyd County, KY","366","324","42",".",".",".",".","88","51","36",".","6","189","169","2"
"21029","Bullitt County, KY","240","224","15","1",".",".",".","115","48","36.5",".",".","240",".","."
"21037","Campbell County, KY","366","306","60",".",".",".",".","93","54","39",".","1","178","187","."
"21043","Carter County, KY","285","283","2",".",".",".",".","59","44","31",".",".","230","54","1"
"21047","Christian County, KY","320","288","32",".",".",".",".","83","50.5","37.5",".",".","195","125","."
"21059","Daviess County, KY","366","308","57","1",".",".",".","105","54","38",".","2","179","185","."
"21061","Edmonson County, KY","365","357","8",".",".",".",".","64","45","33","4",".","345","16","."
"21067","Fayette County, KY","366","328","38",".",".",".",".","84","51","38",".","8","173","185","."
"21089","Greenup County, KY","243","241","2",".",".",".",".","61","44","33",".",".","243",".","."
"21091","Hancock County, KY","245","233","12",".",".",".",".","97","47","37",".",".","245",".","."
"21093","Hardin County, KY","366","328","38",".",".",".",".","80","51","37.5",".",".","182","184","."
"21111","Jefferson County, KY","366","239","120","7",".",".",".","115","61","45",".","8","152","206","."
"21113","Jessamine County, KY","243","232","11",".",".",".",".","77","47","37",".",".","243",".","."
"21139","Livingston County, KY","248","235","12","1",".",".",".","105","47","37",".",".","239",".","9"
"21145","McCracken County, KY","366","299","66","1",".",".",".","111","57","39",".","6","164","196","."
"21175","Morgan County, KY","365","361","4",".",".",".",".","64","44","33",".",".","365",".","."
"21185","Oldham County, KY","239","218","21",".",".",".",".","97","49","38",".",".","239",".","."
"21193","Perry County, KY","364","335","29",".",".",".",".","99","48","34",".",".","153","211","."
"21195","Pike County, KY","365","351","14",".",".",".",".","92","45","32",".",".","172","193","."
"21199","Pulaski County, KY","283","265","18",".",".",".",".","77","48","36",".",".","219","64","."
"21213","Simpson County, KY","221","217","4",".",".",".",".","67","46","36",".",".","221",".","."
"21221","Trigg County, KY","362","350","12",".",".",".",".","84","45","34",".",".","362",".","."
"21227","Warren County, KY","366","313","53",".",".",".",".","97","53","38",".",".","139","227","."
"21229","Washington County, KY","364","352","12",".",".",".",".","77","46","34",".",".","364",".","."
