"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","287","268","19",".",".",".",".","81","48","29",".",".",".","287","."
"39003","Allen County, OH","360","318","41","1",".",".",".","105","52","36",".",".","224","136","."
"39007","Ashtabula County, OH","241","224","17",".",".",".",".","93","47","37",".",".","241",".","."
"39009","Athens County, OH","86","83","3",".",".",".",".","61","41","23.5",".",".",".","86","."
"39013","Belmont County, OH","366","357","9",".",".",".",".","66","30","12",".","276",".","82","8"
"39017","Butler County, OH","366","307","56","3",".",".",".","126","58","38",".",".","304","59","3"
"39023","Clark County, OH","343","274","68","1",".",".",".","108","58","40",".",".","198","145","."
"39025","Clermont County, OH","361","325","36",".",".",".",".","100","50","35",".",".","210","151","."
"39027","Clinton County, OH","229","205","24",".",".",".",".","97","54","39",".",".","229",".","."
"39029","Columbiana County, OH","48","48",".",".",".",".",".","31","20","10",".",".",".",".","48"
"39035","Cuyahoga County, OH","366","226","130","9","1",".",".","152","66","46",".",".","147","214","5"
"39041","Delaware County, OH","244","222","21","1",".",".",".","101","50","38",".",".","244",".","."
"39047","Fayette County, OH","341","318","23",".",".",".",".","80","49","35",".",".","341",".","."
"39049","Franklin County, OH","366","296","68","2",".",".",".","102","58","40",".","7","189","170","."
"39055","Geauga County, OH","245","214","31",".",".",".",".","100","61","41",".",".","245",".","."
"39057","Greene County, OH","245","220","25",".",".",".",".","93","51","39",".",".","245",".","."
"39061","Hamilton County, OH","366","211","148","7",".",".",".","126","70","48",".","13","118","235","."
"39067","Harrison County, OH","304","304",".",".",".",".",".","49","23","1","259",".",".","40","5"
"39081","Jefferson County, OH","359","292","66","1",".",".",".","112","58","37",".",".","192","166","1"
"39083","Knox County, OH","245","226","19",".",".",".",".","80","49","38",".",".","245",".","."
"39085","Lake County, OH","366","322","38","6",".",".",".","140","54","36.5",".",".","222","142","2"
"39087","Lawrence County, OH","354","316","38",".",".",".",".","77","51","35.5",".",".","196","158","."
"39089","Licking County, OH","245","230","15",".",".",".",".","77","48","37",".",".","245",".","."
"39093","Lorain County, OH","358","322","35",".","1",".",".","154","51","35",".",".","184","174","."
"39095","Lucas County, OH","354","291","55","8",".",".",".","136","62","38",".",".","198","156","."
"39097","Madison County, OH","245","220","25",".",".",".",".","84","51","39",".",".","245",".","."
"39099","Mahoning County, OH","365","320","44","1",".",".",".","142","54","38",".",".","160","205","."
"39103","Medina County, OH","360","321","39",".",".",".",".","93","51","35",".",".","185","175","."
"39109","Miami County, OH","229","217","12",".",".",".",".","93","49","39",".",".","229",".","."
"39113","Montgomery County, OH","361","246","111","4",".",".",".","112","64","44",".",".","160","200","1"
"39121","Noble County, OH","356","334","22",".",".",".",".","87","47","36",".",".","345","11","."
"39133","Portage County, OH","262","229","32","1",".",".",".","101","55","39",".",".","241","21","."
"39135","Preble County, OH","366","315","50","1",".",".",".","101","54","38",".",".","232","134","."
"39145","Scioto County, OH","366","361","5",".",".",".",".","92","31","14",".",".",".","96","270"
"39151","Stark County, OH","358","262","92","4",".",".",".","119","62","42",".",".","166","192","."
"39153","Summit County, OH","361","276","82","3",".",".",".","114","59","39",".",".","118","243","."
"39155","Trumbull County, OH","357","315","39","2","1",".",".","153","52","37",".",".","218","139","."
"39165","Warren County, OH","361","293","64","4",".",".",".","115","59","39",".",".","210","151","."
"39167","Washington County, OH","245","233","11","1",".",".",".","108","48","38",".",".","245",".","."
"39173","Wood County, OH","229","216","13",".",".",".",".","80","46","34",".",".","229",".","."
