"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"54003","Berkeley County, WV","278","261","17",".",".",".",".","95","48","36",".",".","223","55","."
"54009","Brooke County, WV","366","342","24",".",".",".",".","75","40","17",".",".",".","121","245"
"54011","Cabell County, WV","284","270","14",".",".",".",".","100","47","35.5",".",".","222","62","."
"54021","Gilmer County, WV","363","363",".",".",".",".",".","49","41","29",".",".","363",".","."
"54025","Greenbrier County, WV","234","232","2",".",".",".",".","54","44","34",".",".","234",".","."
"54029","Hancock County, WV","307","276","30","1",".",".",".","133","51","36",".",".","212","50","45"
"54033","Harrison County, WV","118","110","8",".",".",".",".","78","43","26",".",".",".","118","."
"54039","Kanawha County, WV","366","342","24",".",".",".",".","84","48","37",".",".","240","126","."
"54049","Marion County, WV","74","69","5",".",".",".",".","67","47","26",".",".",".","74","."
"54051","Marshall County, WV","118","106","12",".",".",".",".","68","51","31",".",".",".","118","."
"54061","Monongalia County, WV","274","260","14",".",".",".",".","90","47","37",".",".","223","51","."
"54069","Ohio County, WV","274","244","29","1",".",".",".","101","51","38",".",".","221","53","."
"54093","Tucker County, WV","359","357","2",".",".",".",".","51","44","33",".",".","353","6","."
"54107","Wood County, WV","283","264","19",".",".",".",".","80","47","35",".",".","226","57","."
