State,County,Smoker_Proportion
Ohio,Adams,0.24
Ohio,Allen,0.20
Ohio,Ashland,0.19
Ohio,Ashtabula,0.21
Ohio,Athens,0.20
Ohio,Auglaize,0.17
Ohio,Belmont,0.17
Ohio,Brown,0.21
Ohio,Butler,0.18
Ohio,Carroll,0.18
Ohio,Champaign,0.18
Ohio,Clark,0.21
Ohio,Clermont,0.19
Ohio,Clinton,0.20
Ohio,Columbiana,0.21
Ohio,Coshocton,0.22
Ohio,Crawford,0.20
Ohio,Cuyahoga,0.20
Ohio,Darke,0.18
Ohio,Defiance,0.18
Ohio,Delaware,0.15
Ohio,Erie,0.18
Ohio,Fairfield,0.17
Ohio,Fayette,0.21
Ohio,Franklin,0.20
Ohio,Fulton,0.17
Ohio,Gallia,0.21
Ohio,Geauga,0.17
Ohio,Greene,0.18
Ohio,Guernsey,0.22
Ohio,Hamilton,0.19
Ohio,Hancock,0.18
Ohio,Hardin,0.21
Ohio,Harrison,0.20
Ohio,Henry,0.17
Ohio,Highland,0.21
Ohio,Hocking,0.20
Ohio,Holmes,0.18
Ohio,Huron,0.19
Ohio,Jackson,0.23
Ohio,Jefferson,0.21
Ohio,Knox,0.17
Ohio,Lake,0.17
Ohio,Lawrence,0.21
Ohio,Licking,0.19
Ohio,Logan,0.19
Ohio,Lorain,0.18
Ohio,Lucas,0.21
Ohio,Madison,0.19
Ohio,Mahoning,0.20
Ohio,Marion,0.21
Ohio,Medina,0.16
Ohio,Meigs,0.22
Ohio,Mercer,0.16
Ohio,Miami,0.18
Ohio,Monroe,0.19
Ohio,Montgomery,0.20
Ohio,Morgan,0.22
Ohio,Morrow,0.19
Ohio,Muskingum,0.20
Ohio,Noble,0.17
Ohio,Ottawa,0.17
Ohio,Paulding,0.17
Ohio,Perry,0.20
Ohio,Pickaway,0.20
Ohio,Pike,0.21
Ohio,Portage,0.19
Ohio,Preble,0.18
Ohio,Putnam,0.16
Ohio,Richland,0.21
Ohio,Ross,0.22
Ohio,Sandusky,0.20
Ohio,Scioto,0.22
Ohio,Seneca,0.19
Ohio,Shelby,0.18
Ohio,Stark,0.19
Ohio,Summit,0.18
Ohio,Trumbull,0.20
Ohio,Tuscarawas,0.18
Ohio,Union,0.18
Ohio,Van Wert,0.18
Ohio,Vinton,0.22
Ohio,Warren,0.15
Ohio,Washington,0.18
Ohio,Wayne,0.17
Ohio,Williams,0.20
Ohio,Wood,0.17
Ohio,Wyandot,0.19
Kentucky,Adair,0.23
Kentucky,Allen,0.22
Kentucky,Anderson,0.19
Kentucky,Ballard,0.20
Kentucky,Barren,0.22
Kentucky,Bath,0.23
Kentucky,Bell,0.28
Kentucky,Boone,0.18
Kentucky,Bourbon,0.20
Kentucky,Boyd,0.22
Kentucky,Boyle,0.20
Kentucky,Bracken,0.21
Kentucky,Breathitt,0.27
