Term,Day,Approval
1,11,44%
1,39,42%
1,70,40%
1,100,41%
1,131,40%
1,161,38%
1,192,38%
1,223,36%
1,253,37%
1,284,37%
1,314,37%
1,345,36%
1,401,39%
1,436,39%
1,464,40%
1,492,42%
1,527,42%
1,555,41%
1,583,41%
1,618,40%
1,646,43%
1,674,40%
1,702,39%
1,737,37%
1,769,43%
1,779,39%
1,830,45%
1,860,41%
1,891,42%
1,922,42%
1,952,40%
1,983,41%
1,1014,40%
1,1028,43%
1,1059,45%
1,1104,46%
1,1134,48%
1,1157,46%
1,1194,46%
1,1209,49%
1,1257,39%
1,1280,41%
1,1300,42%
1,1347,44%
1,1376,45%
1,1399,43%
1,1427,39%
1,1456,34%
2,7,47%
2,25,45%
2,55,43%
2,84,44%
2,118,43%
2,150,40%
2,182,37%
2,212,40%
2,239,40%
2,269,41%
2,309,36%
2,329,36%
